,Keywords,Num of appearance,tf-idf weight
656,java,135,-0.02673767897158267
223,int,104,-0.01950242877662627
798,com,67,-0.011374587374296228
127,data,62,-0.01033158363438429
204,applet,57,-0.009304878356949544
599,obj,56,-0.009101614837532539
161,hi,56,-0.009101614837532539
88,object,53,-0.008496203473099788
549,new,52,-0.008295904767078541
71,basic,50,-0.007897652128695736
126,basics,49,-0.007699729261009436
510,button,48,-0.007502630456800532
570,code,44,-0.006722830536294404
601,class,43,-0.006530124963654184
856,id,41,-0.006147553386961547
509,method,39,-0.0057689225259036706
750,array,34,-0.0048409681365102555
659,string,32,-0.004477875757644901
793,use,32,-0.004477875757644901
308,iv,30,-0.004119833708154588
851,call,27,-0.003592990486619974
547,type,26,-0.0034202975729219743
788,objects,26,-0.0034202975729219743
296,serve,25,-0.0032491579772158524
325,public,24,-0.003079633864753531
526,right,24,-0.003079633864753531
576,reserve,24,-0.003079633864753531
799,point,24,-0.003079633864753531
276,rights,23,-0.002911792585552164
617,reserved,23,-0.002911792585552164
620,program,23,-0.002911792585552164
237,jguru,23,-0.002911792585552164
530,refer,22,-0.002745707351471028
738,init,22,-0.002745707351471028
436,example,22,-0.002745707351471028
394,comment,20,-0.002419132130297566
381,allocate,19,-0.0022588258813809655
808,one,19,-0.0022588258813809655
320,pre,19,-0.0022588258813809655
486,pointer,18,-0.00210064568345504
440,param,18,-0.00210064568345504
480,null,17,-0.001944709769005357
368,ack,17,-0.001944709769005357
263,const,16,-0.0017911503030579603
524,define,16,-0.0017911503030579603
534,return,16,-0.0017911503030579603
213,memory,15,-0.0016401160017980843
94,port,15,-0.0016401160017980843
154,ok,15,-0.0016401160017980843
614,void,15,-0.0016401160017980843
523,types,15,-0.0016401160017980843
18,application,15,-0.0016401160017980843
821,language,15,-0.0016401160017980843
701,expr,14,-0.001491775451795277
602,primitive,14,-0.001491775451795277
194,name,14,-0.001491775451795277
272,comments,14,-0.001491775451795277
242,ten,14,-0.001491775451795277
593,reference,14,-0.001491775451795277
785,parameter,14,-0.001491775451795277
691,system,14,-0.001491775451795277
255,variable,13,-0.001346321381152339
146,operator,13,-0.001346321381152339
151,run,13,-0.001346321381152339
212,element,13,-0.001346321381152339
824,make,13,-0.001346321381152339
293,may,12,-0.001203976250553398
681,value,12,-0.001203976250553398
106,browser,12,-0.001203976250553398
315,time,12,-0.001203976250553398
606,basicsjava,11,-0.0010649997173974271
768,form,11,-0.0010649997173974271
739,garbage,11,-0.0010649997173974271
51,end,11,-0.0010649997173974271
555,state,11,-0.0010649997173974271
64,methods,11,-0.0010649997173974271
741,file,10,-0.0009296988302959767
581,constant,10,-0.0009296988302959767
662,stack,10,-0.0009296988302959767
749,following,10,-0.0009296988302959767
30,would,10,-0.0009296988302959767
491,applets,10,-0.0009296988302959767
46,defined,10,-0.0009296988302959767
776,two,10,-0.0009296988302959767
413,runtime,10,-0.0009296988302959767
792,statement,9,-0.0007984423303599943
546,bit,9,-0.0007984423303599943
197,main,9,-0.0007984423303599943
215,boolean,9,-0.0007984423303599943
697,collection,9,-0.0007984423303599943
627,called,9,-0.0007984423303599943
490,ill,9,-0.0007984423303599943
809,applications,9,-0.0007984423303599943
73,byte,9,-0.0007984423303599943
83,cause,8,-0.000671681363646735
660,definition,8,-0.000671681363646735
704,size,8,-0.000671681363646735
198,create,8,-0.000671681363646735
288,source,8,-0.000671681363646735
540,ints,8,-0.000671681363646735
678,programs,8,-0.000671681363646735
545,variables,8,-0.000671681363646735
421,style,8,-0.000671681363646735
505,table,7,-0.000549980661500674
499,struct,7,-0.000549980661500674
111,instance,7,-0.000549980661500674
82,parameters,7,-0.000549980661500674
723,pointers,7,-0.000549980661500674
806,via,7,-0.000549980661500674
516,draw,7,-0.000549980661500674
7,arrays,7,-0.000549980661500674
451,foo,7,-0.000549980661500674
98,bits,7,-0.000549980661500674
796,contain,7,-0.000549980661500674
268,inc,7,-0.000549980661500674
639,args,7,-0.000549980661500674
855,literal,7,-0.000549980661500674
623,automatic,6,-0.00043406778436501516
529,strings,6,-0.00043406778436501516
770,width,6,-0.00043406778436501516
332,integer,6,-0.00043406778436501516
260,portable,6,-0.00043406778436501516
494,calloc,6,-0.00043406778436501516
136,trivial,6,-0.00043406778436501516
283,semantics,6,-0.00043406778436501516
356,execute,6,-0.00043406778436501516
75,note,6,-0.00043406778436501516
651,equal,6,-0.00043406778436501516
778,true,6,-0.00043406778436501516
374,exception,6,-0.00043406778436501516
43,sizeof,6,-0.00043406778436501516
427,heap,6,-0.00043406778436501516
815,version,6,-0.00043406778436501516
834,equivalent,6,-0.00043406778436501516
603,thread,6,-0.00043406778436501516
680,need,6,-0.00043406778436501516
341,test,6,-0.00043406778436501516
822,statements,6,-0.00043406778436501516
525,predefined,5,-0.00032491579772158524
258,length,5,-0.00032491579772158524
596,using,5,-0.00032491579772158524
840,static,5,-0.00032491579772158524
838,effect,5,-0.00032491579772158524
167,p1,5,-0.00032491579772158524
257,start,5,-0.00032491579772158524
756,elements,5,-0.00032491579772158524
10,instantiate,5,-0.00032491579772158524
817,compile,5,-0.00032491579772158524
2,signed,5,-0.00032491579772158524
324,initial,5,-0.00032491579772158524
735,consider,5,-0.00032491579772158524
733,put,5,-0.00032491579772158524
813,passed,5,-0.00032491579772158524
273,write,5,-0.00032491579772158524
679,executed,5,-0.00032491579772158524
217,import,5,-0.00032491579772158524
685,clone,5,-0.00032491579772158524
300,allocates,5,-0.00032491579772158524
274,similar,5,-0.00032491579772158524
706,like,5,-0.00032491579772158524
158,way,5,-0.00032491579772158524
469,used,5,-0.00032491579772158524
521,threads,5,-0.00032491579772158524
145,machine,5,-0.00032491579772158524
160,set,5,-0.00032491579772158524
836,p2,5,-0.00032491579772158524
147,platform,5,-0.00032491579772158524
517,expressions,5,-0.00032491579772158524
432,buttons,5,-0.00032491579772158524
41,stop,5,-0.00032491579772158524
87,uses,5,-0.00032491579772158524
631,access,5,-0.00032491579772158524
462,tag,5,-0.00032491579772158524
234,must,4,-0.00022389378788224503
133,free,4,-0.00022389378788224503
455,println,4,-0.00022389378788224503
322,makes,4,-0.00022389378788224503
564,extend,4,-0.00022389378788224503
563,document,4,-0.00022389378788224503
408,compiler,4,-0.00022389378788224503
732,pointernull,4,-0.00022389378788224503
829,part,4,-0.00022389378788224503
265,list,4,-0.00022389378788224503
482,look,4,-0.00022389378788224503
827,www,4,-0.00022389378788224503
305,invoke,4,-0.00022389378788224503
405,getparameter,4,-0.00022389378788224503
508,drawn,4,-0.00022389378788224503
552,however,4,-0.00022389378788224503
561,line,4,-0.00022389378788224503
485,execution,4,-0.00022389378788224503
291,space,4,-0.00022389378788224503
109,animations,4,-0.00022389378788224503
814,final,4,-0.00022389378788224503
326,initialize,4,-0.00022389378788224503
208,else,4,-0.00022389378788224503
844,copy,4,-0.00022389378788224503
174,convert,4,-0.00022389378788224503
655,false,4,-0.00022389378788224503
150,graphics,4,-0.00022389378788224503
527,blah,4,-0.00022389378788224503
572,operators,4,-0.00022389378788224503
767,paint,4,-0.00022389378788224503
747,quit,4,-0.00022389378788224503
361,definitions,4,-0.00022389378788224503
340,place,4,-0.00022389378788224503
54,therefore,4,-0.00022389378788224503
376,view,4,-0.00022389378788224503
392,library,4,-0.00022389378788224503
193,simple,4,-0.00022389378788224503
771,super,4,-0.00022389378788224503
502,reside,3,-0.0001330737217266657
653,dynamic,3,-0.0001330737217266657
282,shows,3,-0.0001330737217266657
281,dispose,3,-0.0001330737217266657
382,destroy,3,-0.0001330737217266657
391,collector,3,-0.0001330737217266657
280,ignore,3,-0.0001330737217266657
453,assigned,3,-0.0001330737217266657
556,limited,3,-0.0001330737217266657
630,extends,3,-0.0001330737217266657
452,either,3,-0.0001330737217266657
587,inthis,3,-0.0001330737217266657
573,item,3,-0.0001330737217266657
598,easily,3,-0.0001330737217266657
605,allow,3,-0.0001330737217266657
604,window,3,-0.0001330737217266657
449,creates,3,-0.0001330737217266657
372,awt,3,-0.0001330737217266657
579,appletviewer,3,-0.0001330737217266657
688,push,3,-0.0001330737217266657
507,compilation,3,-0.0001330737217266657
355,trivialapplication,3,-0.0001330737217266657
395,height,3,-0.0001330737217266657
397,text,3,-0.0001330737217266657
479,address,3,-0.0001330737217266657
334,optional,3,-0.0001330737217266657
406,automatically,3,-0.0001330737217266657
318,argument,3,-0.0001330737217266657
339,declaration,3,-0.0001330737217266657
343,equals,3,-0.0001330737217266657
409,default,3,-0.0001330737217266657
314,programming,3,-0.0001330737217266657
463,classes,3,-0.0001330737217266657
585,references,3,-0.0001330737217266657
345,html,3,-0.0001330737217266657
416,loop,3,-0.0001330737217266657
618,case,3,-0.0001330737217266657
299,output,3,-0.0001330737217266657
857,assignment,3,-0.0001330737217266657
331,defines,3,-0.0001330737217266657
295,arithmetic,3,-0.0001330737217266657
294,structure,3,-0.0001330737217266657
458,within,3,-0.0001330737217266657
445,allocated,3,-0.0001330737217266657
654,leave,3,-0.0001330737217266657
557,include,3,-0.0001330737217266657
727,contrast,3,-0.0001330737217266657
835,float,3,-0.0001330737217266657
233,stat1,3,-0.0001330737217266657
192,label,3,-0.0001330737217266657
737,package,3,-0.0001330737217266657
825,resources,3,-0.0001330737217266657
69,typename,3,-0.0001330737217266657
182,messages,3,-0.0001330737217266657
200,hard,3,-0.0001330737217266657
77,nothing,3,-0.0001330737217266657
78,gui,3,-0.0001330737217266657
220,function,3,-0.0001330737217266657
113,bfoo,3,-0.0001330737217266657
86,bounds,3,-0.0001330737217266657
89,always,3,-0.0001330737217266657
115,idi,3,-0.0001330737217266657
143,codevoid,3,-0.0001330737217266657
96,first,3,-0.0001330737217266657
27,robust,3,-0.0001330737217266657
848,char,3,-0.0001330737217266657
4,link,3,-0.0001330737217266657
172,double,3,-0.0001330737217266657
250,life,3,-0.0001330737217266657
14,edu,3,-0.0001330737217266657
12,section,3,-0.0001330737217266657
853,every,3,-0.0001330737217266657
116,features,2,-5.597344697056126e-05
613,longer,2,-5.597344697056126e-05
431,instanceof,2,-5.597344697056126e-05
369,etc,2,-5.597344697056126e-05
649,declare,2,-5.597344697056126e-05
433,stylecomments,2,-5.597344697056126e-05
437,hello,2,-5.597344697056126e-05
439,tothe,2,-5.597344697056126e-05
441,values,2,-5.597344697056126e-05
790,thesame,2,-5.597344697056126e-05
645,level,2,-5.597344697056126e-05
428,dereference,2,-5.597344697056126e-05
423,hardware,2,-5.597344697056126e-05
783,come,2,-5.597344697056126e-05
139,portability,2,-5.597344697056126e-05
400,components,2,-5.597344697056126e-05
635,buttonsbutton,2,-5.597344697056126e-05
132,delimited,2,-5.597344697056126e-05
777,bad,2,-5.597344697056126e-05
621,added,2,-5.597344697056126e-05
411,employee,2,-5.597344697056126e-05
764,vector,2,-5.597344697056126e-05
637,unlike,2,-5.597344697056126e-05
103,accessing,2,-5.597344697056126e-05
124,invoked,2,-5.597344697056126e-05
417,constructor,2,-5.597344697056126e-05
419,settitle,2,-5.597344697056126e-05
420,bar,2,-5.597344697056126e-05
379,calls,2,-5.597344697056126e-05
164,suspend,2,-5.597344697056126e-05
412,continue,2,-5.597344697056126e-05
781,freed,2,-5.597344697056126e-05
702,complete,2,-5.597344697056126e-05
456,member,2,-5.597344697056126e-05
42,forms,2,-5.597344697056126e-05
831,display,2,-5.597344697056126e-05
513,variablename,2,-5.597344697056126e-05
515,codeint,2,-5.597344697056126e-05
35,specific,2,-5.597344697056126e-05
518,containing,2,-5.597344697056126e-05
32,instead,2,-5.597344697056126e-05
31,constant3,2,-5.597344697056126e-05
28,ofc,2,-5.597344697056126e-05
839,opening,2,-5.597344697056126e-05
22,behavior,2,-5.597344697056126e-05
531,labels,2,-5.597344697056126e-05
571,objectsa,2,-5.597344697056126e-05
544,web,2,-5.597344697056126e-05
854,valid,2,-5.597344697056126e-05
553,index,2,-5.597344697056126e-05
558,declarations,2,-5.597344697056126e-05
44,addition,2,-5.597344697056126e-05
506,interpreted,2,-5.597344697056126e-05
47,handle,2,-5.597344697056126e-05
503,simply,2,-5.597344697056126e-05
804,menu,2,-5.597344697056126e-05
597,multi,2,-5.597344697056126e-05
466,comparison,2,-5.597344697056126e-05
362,yet,2,-5.597344697056126e-05
467,unit,2,-5.597344697056126e-05
468,prints,2,-5.597344697056126e-05
473,constants,2,-5.597344697056126e-05
590,sockets,2,-5.597344697056126e-05
454,expressionsitemexamples,2,-5.597344697056126e-05
478,trivialapplet,2,-5.597344697056126e-05
481,keyword,2,-5.597344697056126e-05
819,instantiated,2,-5.597344697056126e-05
489,non,2,-5.597344697056126e-05
58,concatenate,2,-5.597344697056126e-05
583,orin,2,-5.597344697056126e-05
497,written,2,-5.597344697056126e-05
501,perform,2,-5.597344697056126e-05
48,causes,2,-5.597344697056126e-05
70,error,2,-5.597344697056126e-05
757,host,2,-5.597344697056126e-05
407,particular,2,-5.597344697056126e-05
676,world,2,-5.597344697056126e-05
667,done,2,-5.597344697056126e-05
330,standard,2,-5.597344697056126e-05
668,independent,2,-5.597344697056126e-05
327,alt,2,-5.597344697056126e-05
196,contains,2,-5.597344697056126e-05
199,handling,2,-5.597344697056126e-05
201,wide,2,-5.597344697056126e-05
730,instantiates,2,-5.597344697056126e-05
311,unicode,2,-5.597344697056126e-05
677,ignored,2,-5.597344697056126e-05
728,syntax,2,-5.597344697056126e-05
218,appletname,2,-5.597344697056126e-05
726,dynamically,2,-5.597344697056126e-05
684,ii,2,-5.597344697056126e-05
338,secure,2,-5.597344697056126e-05
724,versions,2,-5.597344697056126e-05
227,cannot,2,-5.597344697056126e-05
289,placed,2,-5.597344697056126e-05
287,existing,2,-5.597344697056126e-05
716,addresses,2,-5.597344697056126e-05
279,documentation,2,-5.597344697056126e-05
275,available,2,-5.597344697056126e-05
710,break,2,-5.597344697056126e-05
709,initialized,2,-5.597344697056126e-05
708,javabasics,2,-5.597344697056126e-05
693,ieee,2,-5.597344697056126e-05
269,arguments,2,-5.597344697056126e-05
245,left,2,-5.597344697056126e-05
267,lifecycle,2,-5.597344697056126e-05
248,second,2,-5.597344697056126e-05
297,mml,2,-5.597344697056126e-05
744,environment,2,-5.597344697056126e-05
858,subclass,2,-5.597344697056126e-05
752,illustrate,2,-5.597344697056126e-05
170,points,2,-5.597344697056126e-05
350,task,2,-5.597344697056126e-05
175,checking,2,-5.597344697056126e-05
828,shift,1,0.0
580,bring,1,0.0
657,buttonobject,1,0.0
717,try,1,0.0
643,many,1,0.0
644,guaranteed,1,0.0
830,basicstopics,1,0.0
689,implied,1,0.0
690,yourbrowser,1,0.0
715,appropriate,1,0.0
714,deallocating,1,0.0
832,surroundingit,1,0.0
578,intsvector,1,0.0
577,keywords,1,0.0
713,executionsequence,1,0.0
826,bindjava,1,0.0
687,sections,1,0.0
629,whenever,1,0.0
833,say,1,0.0
641,applettemplate,1,0.0
812,initializersvariables,1,0.0
722,objectsin,1,0.0
759,lifecyclemethodsthe,1,0.0
721,returns,1,0.0
589,startingclassname,1,0.0
588,lack,1,0.0
816,signature,1,0.0
818,virtually,1,0.0
642,issue,1,0.0
586,structs,1,0.0
720,stat3,1,0.0
820,leaked,1,0.0
719,advantage,1,0.0
823,statementsjava,1,0.0
584,incorrect,1,0.0
686,interpreter,1,0.0
582,structurea,1,0.0
718,typeelement,1,0.0
712,descriptionjava,1,0.0
692,arrayobject,1,0.0
565,macapplication,1,0.0
847,andformats,1,0.0
695,ifthey,1,0.0
562,assignments,1,0.0
707,forexample,1,0.0
849,tnew,1,0.0
696,reduces,1,0.0
566,searches,1,0.0
850,tobe,1,0.0
650,aseparate,1,0.0
560,broad,1,0.0
559,number,1,0.0
705,consequence,1,0.0
698,square,1,0.0
699,integerint,1,0.0
703,allocatesmemory,1,0.0
852,constant077nullthe,1,0.0
725,runs,1,0.0
567,obtained,1,0.0
569,injava,1,0.0
711,alljava,1,0.0
575,tostring,1,0.0
574,means,1,0.0
837,loader,1,0.0
758,related,1,0.0
646,converted,1,0.0
647,interfacethe,1,0.0
568,notspecify,1,0.0
648,jim,1,0.0
842,onetwo,1,0.0
694,scrollbars,1,0.0
843,loadable,1,0.0
753,closing,1,0.0
754,respond,1,0.0
845,processed,1,0.0
846,tosubclass,1,0.0
841,becausethey,1,0.0
591,current,1,0.0
592,literaltrue,1,0.0
811,interfaces,1,0.0
619,returnreturn,1,0.0
665,efficiency,1,0.0
666,happens,1,0.0
782,follows,1,0.0
740,whiledo,1,0.0
748,local,1,0.0
632,typesthe,1,0.0
664,calledequals,1,0.0
784,testcommentsjava,1,0.0
616,parseint,1,0.0
615,flavors,1,0.0
786,automaticallys,1,0.0
787,systems,1,0.0
669,equalitytwo,1,0.0
634,user,1,0.0
751,hspace,1,0.0
633,youmust,1,0.0
780,expressionsmost,1,0.0
765,tells,1,0.0
742,operating,1,0.0
661,defense,1,0.0
772,e6d,1,0.0
628,atjava,1,0.0
746,dimensional,1,0.0
773,completely,1,0.0
626,allocateduntil,1,0.0
745,fromall,1,0.0
625,falsebyte8,1,0.0
624,listed,1,0.0
774,designed,1,0.0
622,methodshould,1,0.0
775,potential,1,0.0
663,old,1,0.0
700,requires,1,0.0
766,stacks,1,0.0
779,javavariables,1,0.0
743,executionthe,1,0.0
636,deallocates,1,0.0
670,orviruses,1,0.0
658,whenquitting,1,0.0
612,displays,1,0.0
675,pc,1,0.0
803,computer,1,0.0
652,effort,1,0.0
805,vspace,1,0.0
600,programmingthe,1,0.0
762,descriptionidi,1,0.0
638,appletthe,1,0.0
807,equivalentcode,1,0.0
810,constantsvariables,1,0.0
729,acollection,1,0.0
761,heapwould,1,0.0
640,page,1,0.0
682,corner,1,0.0
683,typedescriptionbooleantrue,1,0.0
595,cloneable,1,0.0
594,clean,1,0.0
760,unnecessarily,1,0.0
802,files,1,0.0
769,invalid,1,0.0
763,differently,1,0.0
731,harm,1,0.0
611,menus,1,0.0
789,phase,1,0.0
671,things,1,0.0
610,contained,1,0.0
736,think,1,0.0
672,messagesfrom,1,0.0
734,javadoc,1,0.0
609,libraries,1,0.0
608,native,1,0.0
607,sizes,1,0.0
673,pronejava,1,0.0
791,interesting,1,0.0
794,nullpointerexception,1,0.0
795,leaves,1,0.0
674,javalanguage,1,0.0
797,classpath,1,0.0
800,namelistobj,1,0.0
801,copysemantics,1,0.0
755,objectresults,1,0.0
0,lines,1,0.0
551,statdo,1,0.0
157,bitsint32,1,0.0
159,steal,1,0.0
162,objectprimitive,1,0.0
163,stored,1,0.0
165,callclass,1,0.0
166,executionan,1,0.0
156,declarationsa,1,0.0
168,intentionally,1,0.0
171,stringsjava,1,0.0
173,normal,1,0.0
176,statementsstatementexamplesifif,1,0.0
177,drawing,1,0.0
178,systemresources,1,0.0
179,functionthat,1,0.0
169,pointerb,1,0.0
155,often,1,0.0
153,semanticsportabilityjava,1,0.0
152,running,1,0.0
125,notpresent,1,0.0
128,visible,1,0.0
129,ifyou,1,0.0
130,othermachines,1,0.0
131,area,1,0.0
134,differences,1,0.0
135,andt,1,0.0
137,securitythe,1,0.0
138,bitsfloat32,1,0.0
140,fill,1,0.0
141,terminates,1,0.0
142,together,1,0.0
144,considered,1,0.0
148,commentary,1,0.0
149,asnew,1,0.0
180,sends,1,0.0
181,illegal,1,0.0
183,details,1,0.0
184,conversions,1,0.0
221,modules,1,0.0
222,programinstantiates,1,0.0
224,environments,1,0.0
225,pointeryou,1,0.0
226,max_value,1,0.0
228,deallocated,1,0.0
229,codedirectly,1,0.0
230,typespurely,1,0.0
231,find,1,0.0
232,optionally,1,0.0
235,methodcauses,1,0.0
236,functionwould,1,0.0
238,terence,1,0.0
239,lowercase,1,0.0
240,undefined,1,0.0
219,priority,1,0.0
123,common,1,0.0
216,major,1,0.0
211,semanticswe,1,0.0
185,anything,1,0.0
186,brackets,1,0.0
187,calledarrayindexoutofboundsexception,1,0.0
188,difficult,1,0.0
189,arithmeticjava,1,0.0
190,stat2switchswitch,1,0.0
191,pretend,1,0.0
195,proper,1,0.0
202,bitschar16,1,0.0
203,stat2default,1,0.0
205,togroup,1,0.0
206,double64,1,0.0
207,notices,1,0.0
209,bepreceded,1,0.0
210,buttonsa,1,0.0
214,compatible,1,0.0
241,generic,1,0.0
122,publicly,1,0.0
120,copyjava,1,0.0
33,parameterscodebase,1,0.0
34,context,1,0.0
36,iconifyyour,1,0.0
37,stat1if,1,0.0
38,linking,1,0.0
39,objid,1,0.0
29,multiple,1,0.0
40,translates,1,0.0
49,relieving,1,0.0
50,order,1,0.0
52,malloc,1,0.0
53,forfor,1,0.0
55,typesprimitive,1,0.0
56,outside,1,0.0
45,five,1,0.0
26,sstill,1,0.0
25,constant4float,1,0.0
24,leakage,1,0.0
1,elementsjava,1,0.0
3,constant0x123octal,1,0.0
5,beginwith,1,0.0
6,single,1,0.0
8,crashesduring,1,0.0
9,linked,1,0.0
11,treated,1,0.0
13,discussed,1,0.0
15,definitionsimport,1,0.0
16,next,1,0.0
17,archives,1,0.0
19,short16,1,0.0
20,modified,1,0.0
21,e6f,1,0.0
23,lowest,1,0.0
57,calledonce,1,0.0
59,representation,1,0.0
60,applies,1,0.0
61,themout,1,0.0
97,otherjava,1,0.0
99,corrupt,1,0.0
100,idinteger,1,0.0
101,codenew,1,0.0
102,youoverride,1,0.0
104,drawstring,1,0.0
105,stale,1,0.0
107,standalone,1,0.0
108,iii,1,0.0
110,demand,1,0.0
112,realobjects,1,0.0
114,suffixhexadecimal,1,0.0
117,depot,1,0.0
118,jperforms,1,0.0
119,tedious,1,0.0
95,creating,1,0.0
121,specifically,1,0.0
93,highest,1,0.0
91,distributed,1,0.0
62,rewrite,1,0.0
63,calling,1,0.0
65,immediately,1,0.0
66,dlls,1,0.0
67,referring,1,0.0
68,much,1,0.0
72,thatknow,1,0.0
74,making,1,0.0
76,arraysint,1,0.0
79,statwhilewhile,1,0.0
80,market,1,0.0
81,literals,1,0.0
84,blank,1,0.0
85,javaruntime,1,0.0
90,zero,1,0.0
92,created,1,0.0
243,exceptionsjava,1,0.0
244,bitslong64,1,0.0
246,netscapenavigator,1,0.0
435,applicationconsider,1,0.0
438,removed,1,0.0
442,isrevisited,1,0.0
443,independentbyte,1,0.0
444,three,1,0.0
446,mainwindow,1,0.0
434,operations,1,0.0
447,including,1,0.0
450,freeing,1,0.0
457,leading,1,0.0
459,usestringbuffer,1,0.0
460,thatspecify,1,0.0
461,suffixdouble,1,0.0
464,errors,1,0.0
448,named,1,0.0
430,forget,1,0.0
426,inaccessible,1,0.0
425,looks,1,0.0
390,objectsbutton,1,0.0
393,inflexible,1,0.0
396,fragments,1,0.0
398,already,1,0.0
399,across,1,0.0
401,thisthe,1,0.0
402,superclass,1,0.0
403,deep,1,0.0
404,terminated,1,0.0
410,plus,1,0.0
414,something,1,0.0
415,ofcode,1,0.0
418,nested,1,0.0
422,collectionan,1,0.0
424,remains,1,0.0
465,accompanying,1,0.0
470,owner,1,0.0
471,convention,1,0.0
472,redrawn,1,0.0
520,buttonnull,1,0.0
522,internet,1,0.0
528,thedifference,1,0.0
532,implementor,1,0.0
533,provided,1,0.0
535,useful,1,0.0
536,allowed,1,0.0
537,npackage,1,0.0
538,complexity,1,0.0
539,mandatory,1,0.0
541,leaks,1,0.0
542,src,1,0.0
543,restrictions,1,0.0
548,translated,1,0.0
550,commentswhere,1,0.0
519,upper,1,0.0
389,standardoutput,1,0.0
514,body,1,0.0
511,atruntime,1,0.0
474,burden,1,0.0
475,codebutton,1,0.0
476,another,1,0.0
477,namelistqualified,1,0.0
483,integrateyour,1,0.0
484,valuesarguments,1,0.0
487,javaobject,1,0.0
488,longerneeded,1,0.0
492,objectgeneral,1,0.0
493,apply,1,0.0
495,arraya,1,0.0
496,referred,1,0.0
498,int00000in,1,0.0
500,concatenated,1,0.0
504,paramtest,1,0.0
512,u00aeboolean,1,0.0
388,precedence,1,0.0
387,nonportable,1,0.0
386,toconvert,1,0.0
290,abc,1,0.0
292,latest,1,0.0
298,becomes,1,0.0
301,objectoperatorsthe,1,0.0
302,also,1,0.0
303,amethod,1,0.0
304,scoped,1,0.0
306,generatedocumentation,1,0.0
307,takes,1,0.0
309,align,1,0.0
310,efficient,1,0.0
312,shallow,1,0.0
313,internally,1,0.0
316,figure,1,0.0
317,stat1case,1,0.0
286,symbol,1,0.0
319,pointed,1,0.0
285,diagram,1,0.0
278,valueof,1,0.0
247,combination,1,0.0
249,painting,1,0.0
251,observation,1,0.0
252,members,1,0.0
253,intsnew,1,0.0
254,bitmaps,1,0.0
256,character,1,0.0
259,thisstatement,1,0.0
261,problemsbecause,1,0.0
262,publicclass,1,0.0
264,needsto,1,0.0
266,jumping,1,0.0
270,portions,1,0.0
271,typesint,1,0.0
277,block,1,0.0
284,onany,1,0.0
554,compared,1,0.0
321,software,1,0.0
328,stats,1,0.0
363,storing,1,0.0
364,specified,1,0.0
365,availablefor,1,0.0
366,frameremoves,1,0.0
367,allocation,1,0.0
370,back,1,0.0
371,creation,1,0.0
373,content,1,0.0
375,places,1,0.0
377,ishandled,1,0.0
378,deiconify,1,0.0
380,leads,1,0.0
383,implements,1,0.0
384,img,1,0.0
385,objectsassignment,1,0.0
360,hostplatform,1,0.0
323,thedirectories,1,0.0
359,avoid,1,0.0
357,commenting,1,0.0
329,acompilation,1,0.0
333,attemptingto,1,0.0
335,thereforejava,1,0.0
336,objectsuperthe,1,0.0
337,command,1,0.0
342,manager,1,0.0
344,classthat,1,0.0
346,disks,1,0.0
347,several,1,0.0
348,giant,1,0.0
349,ofyour,1,0.0
351,methodsrobustnessthe,1,0.0
352,well,1,0.0
353,notnecessary,1,0.0
354,effects,1,0.0
358,aplications,1,0.0
429,thereby,1,0.0
